Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2021-10-25 07:00:00, 48.597084, -68.194152, 2021, 298, 7, 0, 2021, 298, 7, 0, 5.5, 7, 15.08, 30, 3, 45, -33.5, 56547022B565470312E949EB320FED07CA5280
2021-10-25 06:00:00, 48.597170, -68.194238, 2021, 298, 6, 0, 2021, 298, 6, 0, 5.3, 7, 15.08, 36, 3, 46, -33.5, 565460229565460312E969EB3192EE07CA5280
2021-10-25 05:00:00, 48.597084, -68.194238, 2021, 298, 5, 0, 2021, 298, 5, 0, 5.0, 7, 15.08, 24, 3, 47, -33.5, 565450226565450312E949EB318CEF07CA5280
2021-10-25 04:00:00, 48.597084, -68.194152, 2021, 298, 4, 0, 2021, 298, 4, 0, 4.7, 9, 15.08, 30, 3, 47, -33.5, 565440223565440312E949EB320FEF09CA5280
2021-10-25 03:00:00, 48.597084, -68.194152, 2021, 298, 3, 0, 2021, 298, 3, 0, 4.6, 10, 15.08, 26, 3, 47, -33.5, 565430222565430312E949EB320DEF0ACA5280
2021-10-25 02:00:00, 48.597084, -68.194238, 2021, 298, 2, 0, 2021, 298, 2, 0, 5.0, 8, 15.08, 28, 3, 42, -33.5, 565420226565420312E949EB318EEA08CA5280
2021-10-25 01:00:00, 48.597084, -68.194324, 2021, 298, 1, 0, 2021, 298, 1, 0, 5.2, 9, 15.08, 32, 3, 47, -33.5, 565410228565410312E949EB3110EF09CA5280
2021-10-25 00:31:00, 48.596912, -68.194152, 2021, 298, 0, 31, 2021, 298, 0, 31, 5.2, 0, 14.84, 222, 3, 47, -33.5, 565407E28565407F12E909EB326FEF00C45280
2021-10-24 13:00:00, 48.597256, -68.194238, 2021, 297, 13, 0, 2021, 297, 13, 2, 4.3, 22, 15.08, 118, 3, 45, -33.5, 5652D021F5652D0B12E989EB31BBED16CA5280
2021-10-24 12:00:00, 48.597084, -68.194238, 2021, 297, 12, 0, 2021, 297, 12, 0, 4.2, 16, 15.08, 24, 3, 46, -33.5, 5652C021E5652C0312E949EB318CEE10CA5280
2021-10-24 11:00:00, 48.597084, -68.194152, 2021, 297, 11, 0, 2021, 297, 11, 0, 4.1, 4, 15.08, 34, 3, 46, -33.5, 5652B021D5652B0312E949EB3211EE04CA5280
2021-10-24 10:46:00, 48.597084, -68.194152, 2021, 297, 10, 46, 2021, 297, 10, 46, 4.1, 0, 14.84, 38, 3, 47, -33.4, 5652ABA1D5652ABB12E949EB3213EF00C45300
2021-10-24 09:52:00, 48.597170, -68.194152, 2021, 297, 9, 52, 2021, 297, 9, 52, 4.0, 0, 14.92, 52, 3, 48, -33.3, 56529D21C56529D312E969EB321AF000C65380
2021-10-23 02:00:00, 48.597084, -68.194324, 2021, 296, 2, 0, 2021, 296, 2, 0, 8.0, 7, 15.08, 26, 3, 44, -33.5, 565020244565020312E949EB310DEC07CA5280
2021-10-23 01:15:00, 48.597084, -68.194238, 2021, 296, 1, 15, 2021, 296, 1, 15, 8.6, 4, 14.76, 46, 3, 47, -33.3, 565013E4A565013F12E949EB3197EF04C25380
2021-10-21 10:23:00, 48.616692, -68.220038, 2021, 294, 10, 23, 2021, 294, 10, 23, 7.0, 0, 14.84, 20, 2, 47, -33.5, 564CA5E3A564CA5F1305C9EA9B8AAF00C45280
2021-10-20 18:00:00, 48.616778, -68.220038, 2021, 293, 18, 0, 2021, 293, 18, 0, 12.4, 9, 15.08, 34, 3, 49, -33.6, 564B20270564B2031305E9EA9B91F109CA5200
2021-10-20 17:00:00, 48.616606, -68.220038, 2021, 293, 17, 0, 2021, 293, 17, 0, 12.6, 9, 15.08, 24, 3, 47, -33.6, 564B10272564B1031305A9EA9B8CEF09CA5200
2021-10-20 16:00:00, 48.616692, -68.220038, 2021, 293, 16, 0, 2021, 293, 16, 0, 10.6, 10, 15.08, 24, 3, 47, -33.6, 564B0025E564B0031305C9EA9B8CEF0ACA5200
2021-10-20 15:00:00, 48.616692, -68.220038, 2021, 293, 15, 0, 2021, 293, 15, 0, 8.8, 7, 15.08, 24, 3, 46, -33.6, 564AF024C564AF031305C9EA9B8CEE07CA5200
2021-10-20 14:00:00, 48.616692, -68.220038, 2021, 293, 14, 0, 2021, 293, 14, 0, 8.8, 9, 15.08, 24, 2, 47, -33.5, 564AE024C564AE031305C9EA9B8CAF09CA5280
2021-10-20 13:00:00, 48.616606, -68.220038, 2021, 293, 13, 0, 2021, 293, 13, 0, 6.6, 8, 15.08, 30, 3, 47, -33.5, 564AD0236564AD031305A9EA9B8FEF08CA5280
2021-10-20 12:00:00, 48.616692, -68.220038, 2021, 293, 12, 0, 2021, 293, 12, 0, 4.8, 8, 15.08, 26, 3, 47, -33.5, 564AC0224564AC031305C9EA9B8DEF08CA5280
2021-10-20 11:00:00, 48.616692, -68.220038, 2021, 293, 11, 0, 2021, 293, 11, 0, 4.3, 10, 15.08, 24, 2, 46, -33.4, 564AB021F564AB031305C9EA9B8CAE0ACA5300
2021-10-20 10:00:00, 48.616692, -68.220038, 2021, 293, 10, 0, 2021, 293, 10, 0, 5.7, 7, 15.08, 24, 3, 47, -33.5, 564AA022D564AA031305C9EA9B8CEF07CA5280
2021-10-20 09:00:00, 48.616692, -68.220038, 2021, 293, 9, 0, 2021, 293, 9, 0, 6.3, 6, 15.08, 24, 3, 47, -33.5, 564A90233564A9031305C9EA9B8CEF06CA5280
2021-10-20 08:00:00, 48.616606, -68.220038, 2021, 293, 8, 0, 2021, 293, 8, 0, 6.6, 10, 15.08, 24, 2, 47, -33.5, 564A80236564A8031305A9EA9B8CAF0ACA5280
2021-10-20 07:00:00, 48.616692, -68.220038, 2021, 293, 7, 0, 2021, 293, 7, 0, 6.5, 10, 15.08, 26, 3, 47, -33.5, 564A70235564A7031305C9EA9B8DEF0ACA5280
2021-10-20 06:00:00, 48.616606, -68.220038, 2021, 293, 6, 0, 2021, 293, 6, 0, 6.3, 8, 15.08, 28, 3, 47, -33.5, 564A60233564A6031305A9EA9B8EEF08CA5280
2021-10-20 05:00:00, 48.616692, -68.220038, 2021, 293, 5, 0, 2021, 293, 5, 0, 6.3, 7, 15.08, 24, 2, 45, -33.5, 564A50233564A5031305C9EA9B8CAD07CA5280
2021-10-20 04:00:00, 48.616692, -68.220038, 2021, 293, 4, 0, 2021, 293, 4, 0, 6.3, 9, 15.08, 24, 3, 47, -33.5, 564A40233564A4031305C9EA9B8CEF09CA5280
2021-10-20 03:00:00, 48.616692, -68.220038, 2021, 293, 3, 0, 2021, 293, 3, 0, 6.3, 6, 15.08, 24, 3, 47, -33.5, 564A30233564A3031305C9EA9B8CEF06CA5280
2021-10-20 02:00:00, 48.616606, -68.220038, 2021, 293, 2, 0, 2021, 293, 2, 0, 6.6, 11, 15.08, 22, 2, 46, -33.5, 564A20236564A2031305A9EA9B8BAE0BCA5280
2021-10-20 01:00:00, 48.616692, -68.220038, 2021, 293, 1, 0, 2021, 293, 1, 0, 6.7, 8, 15.08, 24, 3, 46, -33.5, 564A10237564A1031305C9EA9B8CEE08CA5280
2021-10-20 00:00:00, 48.616606, -68.220038, 2021, 293, 0, 0, 2021, 293, 0, 0, 6.8, 8, 15.08, 24, 3, 47, -33.5, 564A00238564A0031305A9EA9B8CEF08CA5280
2021-10-19 23:00:00, 48.616692, -68.220038, 2021, 292, 23, 0, 2021, 292, 23, 0, 6.9, 11, 15.08, 30, 3, 45, -33.5, 56497023956497031305C9EA9B8FED0BCA5280
2021-10-19 22:00:00, 48.616692, -68.220038, 2021, 292, 22, 0, 2021, 292, 22, 0, 7.0, 7, 15.08, 24, 3, 47, -33.5, 56496023A56496031305C9EA9B8CEF07CA5280
2021-10-19 21:00:00, 48.616692, -68.220038, 2021, 292, 21, 0, 2021, 292, 21, 0, 7.1, 7, 15.08, 24, 3, 49, -33.5, 56495023B56495031305C9EA9B8CF107CA5280
2021-10-19 20:00:00, 48.616606, -68.220038, 2021, 292, 20, 0, 2021, 292, 20, 0, 7.1, 7, 15.08, 24, 2, 49, -33.5, 56494023B56494031305A9EA9B8CB107CA5280
2021-10-19 19:00:00, 48.616606, -68.220038, 2021, 292, 19, 0, 2021, 292, 19, 0, 7.7, 8, 15.08, 30, 3, 48, -33.5, 56493024156493031305A9EA9B8FF008CA5280
2021-10-19 18:00:00, 48.616778, -68.220038, 2021, 292, 18, 0, 2021, 292, 18, 1, 7.9, 10, 15.08, 54, 3, 48, -33.5, 56492024356492071305E9EA9B9BF00ACA5280
2021-10-19 17:00:00, 48.616692, -68.219952, 2021, 292, 17, 0, 2021, 292, 17, 0, 6.6, 6, 15.08, 24, 3, 46, -33.5, 56491023656491031305C9EA9C0CEE06CA5280
2021-10-19 16:00:00, 48.616692, -68.220038, 2021, 292, 16, 0, 2021, 292, 16, 0, 7.2, 9, 15.08, 24, 3, 47, -33.5, 56490023C56490031305C9EA9B8CEF09CA5280
2021-10-19 15:00:00, 48.616606, -68.220038, 2021, 292, 15, 0, 2021, 292, 15, 0, 7.3, 7, 15.08, 24, 3, 46, -33.5, 5648F023D5648F031305A9EA9B8CEE07CA5280
2021-10-19 14:00:00, 48.616606, -68.220038, 2021, 292, 14, 0, 2021, 292, 14, 0, 7.1, 10, 15.08, 24, 2, 47, -33.5, 5648E023B5648E031305A9EA9B8CAF0ACA5280
2021-10-19 13:00:00, 48.616692, -68.220038, 2021, 292, 13, 0, 2021, 292, 13, 0, 6.9, 10, 15.08, 30, 3, 46, -33.5, 5648D02395648D031305C9EA9B8FEE0ACA5280
2021-10-19 12:00:00, 48.616606, -68.220038, 2021, 292, 12, 0, 2021, 292, 12, 0, 6.4, 7, 15.08, 24, 3, 47, -33.5, 5648C02345648C031305A9EA9B8CEF07CA5280
2021-10-19 11:00:00, 48.616692, -68.220038, 2021, 292, 11, 0, 2021, 292, 11, 0, 6.4, 12, 15.08, 24, 2, 47, -33.5, 5648B02345648B031305C9EA9B8CAF0CCA5280
2021-10-19 10:00:00, 48.616692, -68.220038, 2021, 292, 10, 0, 2021, 292, 10, 0, 6.4, 7, 15.08, 24, 3, 47, -33.5, 5648A02345648A031305C9EA9B8CEF07CA5280
2021-10-19 09:00:00, 48.616606, -68.220038, 2021, 292, 9, 0, 2021, 292, 9, 0, 6.4, 8, 15.08, 24, 3, 46, -33.5, 56489023456489031305A9EA9B8CEE08CA5280
2021-10-19 08:00:00, 48.616606, -68.220038, 2021, 292, 8, 0, 2021, 292, 8, 0, 6.4, 10, 15.08, 24, 3, 47, -33.5, 56488023456488031305A9EA9B8CEF0ACA5280
2021-10-19 07:00:00, 48.616692, -68.220038, 2021, 292, 7, 0, 2021, 292, 7, 0, 6.4, 9, 15.08, 24, 3, 48, -33.5, 56487023456487031305C9EA9B8CF009CA5280
2021-10-19 06:00:00, 48.616606, -68.220038, 2021, 292, 6, 0, 2021, 292, 6, 0, 6.4, 8, 15.08, 24, 3, 46, -33.5, 56486023456486031305A9EA9B8CEE08CA5280
2021-10-19 05:00:00, 48.616606, -68.220038, 2021, 292, 5, 0, 2021, 292, 5, 0, 6.5, 6, 15.08, 24, 2, 46, -33.5, 56485023556485031305A9EA9B8CAE06CA5280
2021-10-19 04:00:00, 48.616606, -68.220038, 2021, 292, 4, 0, 2021, 292, 4, 0, 6.5, 8, 15.08, 24, 3, 47, -33.5, 56484023556484031305A9EA9B8CEF08CA5280
2021-10-19 03:00:00, 48.616692, -68.220038, 2021, 292, 3, 0, 2021, 292, 3, 0, 6.5, 9, 15.08, 24, 3, 47, -33.5, 56483023556483031305C9EA9B8CEF09CA5280
2021-10-19 02:00:00, 48.616692, -68.220038, 2021, 292, 2, 0, 2021, 292, 2, 0, 6.6, 10, 15.08, 24, 3, 46, -33.5, 56482023656482031305C9EA9B8CEE0ACA5280
2021-10-19 01:00:00, 48.616692, -68.220038, 2021, 292, 1, 0, 2021, 292, 1, 0, 6.8, 10, 15.08, 24, 3, 45, -33.5, 56481023856481031305C9EA9B8CED0ACA5280
2021-10-19 00:00:00, 48.616692, -68.220038, 2021, 292, 0, 0, 2021, 292, 0, 0, 6.9, 10, 15.08, 24, 3, 47, -33.5, 56480023956480031305C9EA9B8CEF0ACA5280
2021-10-18 23:00:00, 48.616606, -68.220038, 2021, 291, 23, 0, 2021, 291, 23, 0, 7.3, 10, 15.08, 28, 3, 45, -33.5, 56477023D56477031305A9EA9B8EED0ACA5280
2021-10-18 22:00:00, 48.616692, -68.220038, 2021, 291, 22, 0, 2021, 291, 22, 0, 7.4, 10, 15.08, 24, 3, 47, -33.5, 56476023E56476031305C9EA9B8CEF0ACA5280
2021-10-18 21:29:00, 48.616692, -68.220038, 2021, 291, 21, 29, 2021, 291, 21, 29, 7.7, 0, 14.92, 24, 3, 46, -33.5, 56475764156475771305C9EA9B8CEE00C65280
2021-10-18 20:59:00, 48.616692, -68.220038, 2021, 291, 20, 59, 2021, 291, 20, 59, 8.1, 0, 14.92, 34, 3, 48, -33.5, 56474EE4556474EF1305C9EA9B91F000C65280
2021-10-18 01:00:00, 48.616692, -68.220038, 2021, 291, 1, 0, 2021, 291, 1, 0, 9.2, 8, 15.08, 28, 3, 48, -33.5, 56461025056461031305C9EA9B8EF008CA5280
2021-10-18 00:00:00, 48.616692, -68.220038, 2021, 291, 0, 0, 2021, 291, 0, 0, 9.5, 9, 15.08, 26, 3, 47, -33.5, 56460025356460031305C9EA9B8DEF09CA5280
2021-10-17 23:00:00, 48.616692, -68.220038, 2021, 290, 23, 0, 2021, 290, 23, 0, 10.0, 7, 15.08, 24, 3, 46, -33.6, 56457025856457031305C9EA9B8CEE07CA5200
2021-10-17 22:00:00, 48.616692, -68.220038, 2021, 290, 22, 0, 2021, 290, 22, 0, 10.0, 9, 15.08, 24, 3, 47, -33.6, 56456025856456031305C9EA9B8CEF09CA5200
2021-10-17 21:00:00, 48.616692, -68.220038, 2021, 290, 21, 0, 2021, 290, 21, 0, 10.1, 7, 15.08, 24, 3, 47, -33.6, 56455025956455031305C9EA9B8CEF07CA5200
2021-10-17 20:00:00, 48.616606, -68.220038, 2021, 290, 20, 0, 2021, 290, 20, 0, 10.1, 10, 15.08, 24, 2, 49, -33.6, 56454025956454031305A9EA9B8CB10ACA5200
2021-10-17 19:00:00, 48.616606, -68.220038, 2021, 290, 19, 0, 2021, 290, 19, 0, 10.7, 6, 15.08, 30, 3, 47, -33.6, 56453025F56453031305A9EA9B8FEF06CA5200
2021-10-17 18:00:00, 48.616692, -68.220038, 2021, 290, 18, 0, 2021, 290, 18, 2, 10.4, 9, 15.08, 146, 3, 46, -33.6, 56452025C564520B1305C9EA9BC9EE09CA5200
2021-10-17 17:00:00, 48.616606, -68.220038, 2021, 290, 17, 0, 2021, 290, 17, 0, 9.4, 10, 15.08, 24, 3, 46, -33.5, 56451025256451031305A9EA9B8CEE0ACA5280
2021-10-17 16:00:00, 48.616692, -68.220038, 2021, 290, 16, 0, 2021, 290, 16, 0, 9.9, 7, 15.08, 24, 3, 47, -33.5, 56450025756450031305C9EA9B8CEF07CA5280
2021-10-17 15:00:00, 48.616692, -68.220038, 2021, 290, 15, 0, 2021, 290, 15, 0, 11.1, 7, 15.08, 24, 3, 48, -33.6, 5644F02635644F031305C9EA9B8CF007CA5200
2021-10-17 14:00:00, 48.616692, -68.220038, 2021, 290, 14, 0, 2021, 290, 14, 0, 12.2, 10, 15.08, 24, 3, 46, -33.6, 5644E026E5644E031305C9EA9B8CEE0ACA5200
2021-10-17 13:00:00, 48.616692, -68.220038, 2021, 290, 13, 0, 2021, 290, 13, 0, 11.6, 9, 15.08, 30, 3, 47, -33.6, 5644D02685644D031305C9EA9B8FEF09CA5200
2021-10-17 12:00:00, 48.616692, -68.220038, 2021, 290, 12, 0, 2021, 290, 12, 0, 11.2, 9, 15.08, 24, 3, 46, -33.6, 5644C02645644C031305C9EA9B8CEE09CA5200
2021-10-17 11:00:00, 48.616692, -68.220038, 2021, 290, 11, 0, 2021, 290, 11, 0, 11.4, 9, 15.08, 24, 2, 47, -33.6, 5644B02665644B031305C9EA9B8CAF09CA5200
2021-10-17 10:00:00, 48.616606, -68.220038, 2021, 290, 10, 0, 2021, 290, 10, 0, 12.3, 8, 15.08, 24, 3, 46, -33.6, 5644A026F5644A031305A9EA9B8CEE08CA5200
2021-10-17 09:00:00, 48.616606, -68.220038, 2021, 290, 9, 0, 2021, 290, 9, 0, 13.6, 7, 15.08, 24, 3, 46, -33.6, 56449027C56449031305A9EA9B8CEE07CA5200
2021-10-17 08:00:00, 48.616692, -68.220038, 2021, 290, 8, 0, 2021, 290, 8, 0, 13.7, 7, 15.08, 24, 2, 46, -33.6, 56448027D56448031305C9EA9B8CAE07CA5200
2021-10-17 07:00:00, 48.616692, -68.220038, 2021, 290, 7, 0, 2021, 290, 7, 0, 13.7, 9, 15.08, 24, 3, 47, -33.6, 56447027D56447031305C9EA9B8CEF09CA5200
2021-10-17 06:00:00, 48.616606, -68.220038, 2021, 290, 6, 0, 2021, 290, 6, 0, 14.1, 8, 15.08, 24, 3, 46, -33.6, 56446028156446031305A9EA9B8CEE08CA5200
2021-10-17 05:00:00, 48.616692, -68.220038, 2021, 290, 5, 0, 2021, 290, 5, 0, 14.4, 7, 15.08, 24, 2, 46, -33.6, 56445028456445031305C9EA9B8CAE07CA5200
2021-10-17 04:00:00, 48.616692, -68.220038, 2021, 290, 4, 0, 2021, 290, 4, 0, 13.4, 6, 15.08, 24, 3, 47, -33.6, 56444027A56444031305C9EA9B8CEF06CA5200
2021-10-17 03:00:00, 48.616692, -68.220038, 2021, 290, 3, 0, 2021, 290, 3, 0, 12.6, 6, 15.08, 24, 3, 48, -33.6, 56443027256443031305C9EA9B8CF006CA5200
2021-10-17 02:00:00, 48.616606, -68.220038, 2021, 290, 2, 0, 2021, 290, 2, 0, 12.0, 9, 15.08, 24, 3, 45, -33.6, 56442026C56442031305A9EA9B8CED09CA5200
2021-10-17 01:00:00, 48.616606, -68.220038, 2021, 290, 1, 0, 2021, 290, 1, 0, 11.7, 8, 15.08, 42, 3, 47, -33.6, 56441026956441031305A9EA9B95EF08CA5200
2021-10-17 00:00:00, 48.616606, -68.220038, 2021, 290, 0, 0, 2021, 290, 0, 0, 11.9, 8, 15.08, 24, 3, 46, -33.6, 56440026B56440031305A9EA9B8CEE08CA5200
2021-10-16 23:00:00, 48.616692, -68.220038, 2021, 289, 23, 0, 2021, 289, 23, 0, 11.7, 7, 15.08, 24, 2, 46, -33.6, 56437026956437031305C9EA9B8CAE07CA5200
2021-10-16 22:00:00, 48.616692, -68.220038, 2021, 289, 22, 0, 2021, 289, 22, 0, 11.9, 9, 15.08, 24, 3, 47, -33.6, 56436026B56436031305C9EA9B8CEF09CA5200
2021-10-16 21:00:00, 48.616606, -68.220038, 2021, 289, 21, 0, 2021, 289, 21, 0, 12.1, 6, 15.08, 24, 3, 49, -33.6, 56435026D56435031305A9EA9B8CF106CA5200
2021-10-16 20:00:00, 48.616692, -68.220038, 2021, 289, 20, 0, 2021, 289, 20, 0, 13.8, 7, 15.08, 26, 3, 48, -33.6, 56434027E56434031305C9EA9B8DF007CA5200
2021-10-16 19:00:00, 48.616606, -68.220038, 2021, 289, 19, 0, 2021, 289, 19, 0, 14.0, 11, 15.08, 40, 3, 49, -33.6, 56433028056433031305A9EA9B94F10BCA5200
2021-10-16 18:00:00, 48.616606, -68.220038, 2021, 289, 18, 0, 2021, 289, 18, 0, 12.9, 21, 15.08, 24, 3, 48, -33.6, 56432027556432031305A9EA9B8CF015CA5200
2021-10-16 17:00:00, 48.616692, -68.220038, 2021, 289, 17, 0, 2021, 289, 17, 0, 10.6, 9, 15.08, 24, 3, 46, -33.6, 56431025E56431031305C9EA9B8CEE09CA5200
2021-10-16 16:00:00, 48.616606, -68.220038, 2021, 289, 16, 0, 2021, 289, 16, 0, 9.3, 10, 15.08, 24, 3, 48, -33.6, 56430025156430031305A9EA9B8CF00ACA5200
2021-10-16 15:00:00, 48.616606, -68.220038, 2021, 289, 15, 0, 2021, 289, 15, 0, 8.8, 7, 15.08, 24, 3, 47, -33.5, 5642F024C5642F031305A9EA9B8CEF07CA5280
2021-10-16 14:00:00, 48.616606, -68.220038, 2021, 289, 14, 0, 2021, 289, 14, 0, 8.7, 8, 15.08, 24, 3, 48, -33.5, 5642E024B5642E031305A9EA9B8CF008CA5280
2021-10-16 13:00:00, 48.616692, -68.220038, 2021, 289, 13, 0, 2021, 289, 13, 0, 9.2, 7, 15.08, 30, 3, 46, -33.6, 5642D02505642D031305C9EA9B8FEE07CA5200
2021-10-16 12:00:00, 48.616606, -68.220038, 2021, 289, 12, 0, 2021, 289, 12, 0, 9.6, 7, 15.08, 24, 3, 48, -33.6, 5642C02545642C031305A9EA9B8CF007CA5200
2021-10-16 11:00:00, 48.616692, -68.220038, 2021, 289, 11, 0, 2021, 289, 11, 0, 9.9, 8, 15.08, 24, 2, 47, -33.6, 5642B02575642B031305C9EA9B8CAF08CA5200
2021-10-16 10:00:00, 48.616692, -68.220038, 2021, 289, 10, 0, 2021, 289, 10, 0, 9.4, 8, 15.08, 24, 3, 49, -33.6, 5642A02525642A031305C9EA9B8CF108CA5200
2021-10-16 09:00:00, 48.616606, -68.220038, 2021, 289, 9, 0, 2021, 289, 9, 0, 9.2, 7, 15.08, 24, 3, 48, -33.6, 56429025056429031305A9EA9B8CF007CA5200
2021-10-16 08:00:00, 48.616606, -68.220038, 2021, 289, 8, 0, 2021, 289, 8, 0, 9.3, 9, 15.08, 24, 2, 47, -33.6, 56428025156428031305A9EA9B8CAF09CA5200
2021-10-16 07:00:00, 48.616692, -68.220038, 2021, 289, 7, 0, 2021, 289, 7, 0, 9.7, 9, 15.08, 26, 3, 47, -33.5, 56427025556427031305C9EA9B8DEF09CA5280
2021-10-16 06:00:00, 48.616606, -68.220038, 2021, 289, 6, 0, 2021, 289, 6, 0, 9.5, 6, 15.08, 24, 3, 46, -33.6, 56426025356426031305A9EA9B8CEE06CA5200
2021-10-16 05:00:00, 48.616692, -68.220038, 2021, 289, 5, 0, 2021, 289, 5, 0, 9.4, 8, 15.08, 24, 3, 46, -33.6, 56425025256425031305C9EA9B8CEE08CA5200
2021-10-16 04:00:00, 48.616606, -68.220038, 2021, 289, 4, 0, 2021, 289, 4, 0, 9.4, 7, 15.08, 36, 3, 48, -33.5, 56424025256424031305A9EA9B92F007CA5280
2021-10-16 03:00:00, 48.616606, -68.220038, 2021, 289, 3, 0, 2021, 289, 3, 0, 10.0, 17, 15.08, 24, 3, 48, -33.6, 56423025856423031305A9EA9B8CF011CA5200
2021-10-16 02:00:00, 48.616606, -68.220038, 2021, 289, 2, 0, 2021, 289, 2, 0, 9.7, 8, 15.08, 24, 3, 46, -33.6, 56422025556422031305A9EA9B8CEE08CA5200
2021-10-16 01:00:00, 48.617466, -68.220296, 2021, 289, 1, 0, 2021, 289, 1, 1, 9.9, 6, 15.08, 72, 3, 46, -33.6, 56421025756421071306E9EA9A24EE06CA5200
2021-10-16 00:00:00, 48.616692, -68.220038, 2021, 289, 0, 0, 2021, 289, 0, 0, 10.1, 11, 15.16, 38, 2, 49, -33.6, 56420025956420031305C9EA9B93B10BCC5200
2021-10-15 23:00:00, 48.616606, -68.220038, 2021, 288, 23, 0, 2021, 288, 23, 0, 10.0, 9, 15.08, 24, 2, 46, -33.6, 56417025856417031305A9EA9B8CAE09CA5200
2021-10-15 22:22:00, 48.616692, -68.220038, 2021, 288, 22, 22, 2021, 288, 22, 22, 10.4, 0, 14.92, 36, 3, 47, -33.6, 564165A5C564165B1305C9EA9B92EF00C65200
2021-10-15 22:19:00, 48.616692, -68.220038, 2021, 288, 22, 19, 2021, 288, 22, 19, 10.4, 0, 15.00, 22, 3, 48, -33.6, 564164E5C564164F1305C9EA9B8BF000C85200
2021-10-15 22:15:00, 48.616692, -68.220038, 2021, 288, 22, 15, 2021, 288, 22, 15, 10.4, 0, 15.00, 36, 3, 48, -33.6, 564163E5C564163F1305C9EA9B92F000C85200
2021-10-15 22:10:00, 48.616606, -68.220038, 2021, 288, 22, 10, 2021, 288, 22, 10, 10.4, 0, 14.92, 24, 3, 47, -33.6, 564162A5C564162B1305A9EA9B8CEF00C65200
2021-10-15 22:03:00, 48.616692, -68.220038, 2021, 288, 22, 3, 2021, 288, 22, 3, 10.4, 0, 15.00, 34, 3, 47, -33.6, 564160E5C564160F1305C9EA9B91EF00C85200
2021-10-15 22:02:00, 48.616606, -68.220038, 2021, 288, 22, 2, 2021, 288, 22, 2, 10.4, 0, 15.00, 20, 3, 49, -33.6, 564160A5C564160B1305A9EA9B8AF100C85200
2021-10-15 22:00:00, 48.616606, -68.220038, 2021, 288, 22, 0, 2021, 288, 22, 0, 10.4, 7, 15.08, 24, 3, 48, -33.6, 56416025C56416031305A9EA9B8CF007CA5200
2021-10-15 21:58:00, 48.616606, -68.220038, 2021, 288, 21, 58, 2021, 288, 21, 58, 10.4, 0, 14.92, 34, 3, 47, -33.5, 56415EA5C56415EB1305A9EA9B91EF00C65280
2021-10-15 17:46:00, 48.616692, -68.220038, 2021, 288, 17, 46, 2021, 288, 17, 46, 11.7, 0, 14.92, 34, 3, 48, -33.6, 56411BA6956411BB1305C9EA9B91F000C65200
2021-10-15 17:41:00, 48.616606, -68.220038, 2021, 288, 17, 41, 2021, 288, 17, 41, 11.5, 0, 14.92, 20, 2, 48, -33.6, 56411A66756411A71305A9EA9B8AB000C65200
2021-10-15 17:39:00, 48.616606, -68.220038, 2021, 288, 17, 39, 2021, 288, 17, 39, 11.5, 0, 14.92, 26, 2, 47, -33.6, 564119E67564119F1305A9EA9B8DAF00C65200
2021-10-15 17:37:00, 48.616606, -68.220038, 2021, 288, 17, 37, 2021, 288, 17, 37, 11.6, 0, 14.92, 30, 3, 47, -33.6, 56411966856411971305A9EA9B8FEF00C65200
2021-10-15 17:35:00, 48.616606, -68.220038, 2021, 288, 17, 35, 2021, 288, 17, 35, 11.7, 0, 14.92, 30, 3, 46, -33.6, 564118E69564118F1305A9EA9B8FEE00C65200
2021-10-15 17:34:00, 48.616606, -68.220038, 2021, 288, 17, 34, 2021, 288, 17, 34, 11.7, 0, 15.00, 34, 3, 47, -33.6, 564118A69564118B1305A9EA9B91EF00C85200
2021-10-15 17:32:00, 48.616606, -68.220038, 2021, 288, 17, 32, 2021, 288, 17, 32, 11.8, 0, 14.92, 24, 3, 46, -33.6, 56411826A56411831305A9EA9B8CEE00C65200
2021-10-15 17:21:00, 48.616606, -68.220038, 2021, 288, 17, 21, 2021, 288, 17, 21, 12.0, 0, 14.92, 34, 3, 46, -33.6, 56411566C56411571305A9EA9B91EE00C65200
2021-10-15 17:17:00, 48.616606, -68.220038, 2021, 288, 17, 17, 2021, 288, 17, 17, 12.2, 0, 15.00, 24, 3, 46, -33.6, 56411466E56411471305A9EA9B8CEE00C85200
2021-10-15 17:06:00, 48.616606, -68.220038, 2021, 288, 17, 6, 2021, 288, 17, 6, 13.1, 0, 14.92, 36, 3, 46, -33.6, 564111A77564111B1305A9EA9B92EE00C65200
2021-10-15 17:04:00, 48.616692, -68.220038, 2021, 288, 17, 4, 2021, 288, 17, 4, 13.2, 0, 15.00, 30, 3, 46, -33.6, 56411127856411131305C9EA9B8FEE00C85200
2021-10-15 17:00:00, 48.616606, -68.220038, 2021, 288, 17, 0, 2021, 288, 17, 0, 13.3, 11, 15.16, 26, 3, 46, -33.6, 56411027956411031305A9EA9B8DEE0BCC5200
2021-10-15 16:53:00, 48.616606, -68.220038, 2021, 288, 16, 53, 2021, 288, 16, 53, 13.3, 0, 14.92, 32, 2, 46, -33.6, 56410D67956410D71305A9EA9B90AE00C65200
